no,category,category_label,file,seo_title,alt,caption
42,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-09.webp,Pendik beyaz eşya teknik servis çalışması #42,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
43,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-07.webp,Pendik bulaşık makinesi teknik servis çalışması #43,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
44,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-03.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #44,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
45,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-12.webp,Pendik çamaşır makinesi teknik servis çalışması #45,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
46,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-04.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #46,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
47,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-10.webp,Pendik beyaz eşya teknik servis çalışması #47,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
48,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-08.webp,Pendik bulaşık makinesi teknik servis çalışması #48,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
49,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-06.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #49,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
50,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-05.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #50,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
51,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-13.webp,Pendik çamaşır makinesi teknik servis çalışması #51,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
52,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-06.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #52,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
53,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-07.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #53,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
54,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-08.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #54,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
55,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-09.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #55,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
56,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-07.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #56,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
57,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-11.webp,Pendik beyaz eşya teknik servis çalışması #57,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
58,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-14.webp,Pendik çamaşır makinesi teknik servis çalışması #58,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
59,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-10.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #59,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
60,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-09.webp,Pendik bulaşık makinesi teknik servis çalışması #60,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
61,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-11.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #61,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
62,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-10.webp,Pendik bulaşık makinesi teknik servis çalışması #62,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
63,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-12.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #63,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
64,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-08.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #64,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
65,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-11.webp,Pendik bulaşık makinesi teknik servis çalışması #65,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
66,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-12.webp,Pendik beyaz eşya teknik servis çalışması #66,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
67,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-09.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #67,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
68,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-10.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #68,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
69,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-11.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #69,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
70,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-13.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #70,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
71,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-14.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #71,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
72,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-13.webp,Pendik beyaz eşya teknik servis çalışması #72,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
73,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-12.webp,Pendik bulaşık makinesi teknik servis çalışması #73,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
74,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-09.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #74,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
75,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-15.webp,Pendik çamaşır makinesi teknik servis çalışması #75,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
76,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-10.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #76,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
77,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-14.webp,Pendik beyaz eşya teknik servis çalışması #77,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
78,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-16.webp,Pendik çamaşır makinesi teknik servis çalışması #78,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
79,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-12.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #79,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
80,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-13.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #80,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
81,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-15.webp,Pendik beyaz eşya teknik servis çalışması #81,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
82,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-13.webp,Pendik bulaşık makinesi teknik servis çalışması #82,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
83,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-14.webp,Pendik bulaşık makinesi teknik servis çalışması #83,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
84,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-16.webp,Pendik beyaz eşya teknik servis çalışması #84,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
85,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-15.webp,Pendik bulaşık makinesi teknik servis çalışması #85,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
86,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-16.webp,Pendik bulaşık makinesi teknik servis çalışması #86,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
87,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-15.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #87,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
88,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-11.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #88,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
